model,precision,recall,f1,roc_auc,avg_precision,false_positive_rate,tp,fp,tn,fn,cv_auc_mean,cv_auc_std,train_time_s
Baseline,0.7988,0.9161,0.8534,0.9838,0.9305,0.0502,131,33,624,12,,,
Logistic Regression,0.8726,0.958,0.9133,0.9973,0.9891,0.0304,137,20,637,6,0.9977,0.0014,1.31
Random Forest,0.964,0.9371,0.9504,0.998,0.991,0.0076,134,5,652,9,0.9969,0.0015,1.54
Gradient Boosting,0.9708,0.9301,0.95,0.9981,0.9923,0.0061,133,4,653,10,0.9965,0.0014,7.11
Extra Trees,0.9384,0.958,0.9481,0.9976,0.9902,0.0137,137,9,648,6,0.9978,0.0013,1.46
SVM (RBF),0.9396,0.979,0.9589,0.9991,0.9961,0.0137,140,9,648,3,0.9986,0.0013,0.46
KNN,0.9552,0.8951,0.9242,0.9962,0.9847,0.0091,128,6,651,15,0.9926,0.0047,0.48
